headline;source;section;published;abstract;keywords;word_count
Could Apple Exist Without Its Ties to China? Probably Not.;The New York Times;Technology;01/05/2025;The world’s most valuable company has become so reliant on Chinese suppliers and sales that it would be worth half as much or less without them.;['Apple Inc', 'China', 'iPhone', 'Smartphones', 'Politics and Government', 'Factories and Manufacturing', 'United States International Relations', 'United States Politics and Government', 'Trump, Donald J', 'International Trade and World Market', 'Customs (Tariff)'];1334
Judge Rebukes Apple and Orders It to Loosen Grip on App Store;The New York Times;Technology;01/05/2025;The ruling was a stinging defeat for Apple in a long-running antitrust case brought by Epic Games, the maker of Fortnite, on behalf of app developers.;['Decisions and Verdicts', 'Gonzalez Rogers, Yvonne (1965- )', 'Apple Inc', 'Epic Games', 'Cook, Timothy D', 'Mobile Applications', 'Antitrust Laws and Competition Issues', 'Computer and Video Games', 'Regulation and Deregulation of Industry', 'Mobile Commerce and Payments', 'Suits and Litigation (Civil)'];762
‘F1: The Movie’ Gives Apple Its First Box Office Hit;The New York Times;Business;29/06/2025;But the movie cost at least $350 million to make and market, analysts said, so it will need to attract substantial crowds in the weeks ahead to make money.;['Movies', 'Box Office Sales', 'Automobile Racing', 'Apple Inc', 'Formula One', 'Warner Brothers', 'Pitt, Brad', 'North America', 'F1: The Movie (Movie)'];636
Apple’s New Software Focuses on Design Aesthetics Over A.I.;The New York Times;Technology;09/06/2025;The company also introduced artificial intelligence in its devices in the opening presentation of a company conference.;['Computers and the Internet', 'Artificial Intelligence', 'Software', 'iPhone', 'Customs (Tariff)', 'Apple Inc', 'Cook, Timothy D'];1148
Apple Is Shutting a Store in China, Its First Closure in the Country;The New York Times;Business;29/07/2025;The move speaks to slowing spending by consumers and Apple’s continuing struggles in China, its second-largest market.;['Apple Inc', 'Shutdowns (Institutional)', 'Computers and the Internet', 'Smartphones', 'China', 'Dalian (China)', 'Shopping and Retail', 'Shopping Centers and Malls'];343
New York City Has the Power to Bring Down Grocery Prices. All Cities Do.;The New York Times;Opinion;21/07/2025;How the Big Apple could take on Big Egg.;['Prices (Fares, Fees and Rates)', 'Food', 'Agriculture and Farming', 'Law and Legislation', 'Supermarkets and Grocery Stores', 'Price Gouging', 'Urban Areas', 'Antitrust Laws and Competition Issues', 'Small Business', 'Eggs', 'Local Government', 'Supply Chain', 'New York City', 'Mamdani, Zohran'];1135
How Apple’s iOS 26 and Google’s Android 16 Will Change Our Phones;The New York Times;Technology;17/07/2025;Both operating systems introduce new designs, but the real story is what’s happening beneath with A.I.;['Smartphones', 'Computers and the Internet', 'Artificial Intelligence', 'iOS (Operating System)', 'Software', 'Mobile Applications', 'Android (Operating System)', 'Apple Inc', 'Google Inc'];1022
How Elephants Say They Like Them Apples;The New York Times;Science;09/07/2025;Researchers found that the animals are capable of using their trunks to make a range of gestures that express their intentions and wants.;['Elephants', 'Animal Behavior', 'Animal Cognition', 'Apples', 'Research', 'Royal Society Open Science (Journal)', 'Zimbabwe', 'your-feed-science'];799
Elon Musk’s xAI Sues Apple and OpenAI Over Claims It Is Being Shut Out;The New York Times;Technology;25/08/2025;Mr. Musk’s artificial intelligence company, xAI, claimed that its Grok chatbot app was being artificially suppressed in Apple’s App Store.;['Artificial Intelligence', 'Mobile Applications', 'Suits and Litigation (Civil)', 'Computers and the Internet', 'X.ai Inc', 'Apple Inc', 'Musk, Elon', 'X (Formerly Twitter)', 'Altman, Samuel H'];700
Apple Fitness Chief Accused of Toxic Workplace Culture and Harassment;The New York Times;Technology;21/08/2025;Workers say the executive was volatile and retaliated when they cooperated with an investigation. Apple denies the claims.;['Apple Inc', 'Watches and Clocks', 'Workplace Hazards and Violations', 'Sexual Harassment', 'Computers and the Internet', 'Suits and Litigation (Civil)', 'Exercise', 'Blahnik, Jay'];1467
Elon Musk Threatens to Sue Apple Over Claims It Favors OpenAI;The New York Times;Technology;12/08/2025;The billionaire said in posts on X that the consumer tech giant was violating antitrust laws by giving preferential treatment to OpenAI on the App Store.;['Artificial Intelligence', 'Mobile Applications', 'Antitrust Laws and Competition Issues', 'Computers and the Internet', 'X (Formerly Twitter)', 'X.ai Inc', 'OpenAI Labs', 'Apple Inc', 'Musk, Elon'];424
Trump Announces Additional $100 Billion Apple Investment in U.S.;The New York Times;U.S.;06/08/2025;The White House said the pledge would bring more of the company’s supply chain and advanced manufacturing to the United States.;['Apple Inc', 'iPhone', 'Factories and Manufacturing', 'Customs (Tariff)', 'United States Politics and Government', 'United States Economy', 'Trump, Donald J', 'Cook, Timothy D', 'Computers and the Internet'];987
Apple Introduces New, Slimmer iPhone;The New York Times;Technology;09/09/2025;The Silicon Valley giant also introduced updates to its traditional smartphones, as well as its AirPods and Apple Watch.;['Computers and the Internet', 'iPhone', 'Wearable Computing', 'Smartphones', 'Apple Inc'];962
Steve Hayden, Writer Behind Apple’s Pivotal ‘1984’ Commercial, Dies at 78;The New York Times;Business;04/09/2025;The ad for the Macintosh computer — which was seen nationally just once, during the Super Bowl — is considered one of the most memorable commercials ever made.;['Hayden, Steve', 'Advertising and Marketing', 'Writing and Writers', 'Computers and the Internet', 'Television', 'Super Bowl', 'Apple Inc', 'TBWA/Chiat/Day', 'BBDO Worldwide', 'Ogilvy & Mather', 'Scott, Ridley', '1984 (Book)', 'Deaths (Obituaries)'];1342
