headline;source;section;published;abstract;keywords;word_count
Behind Apple’s Doomed Car Project: False Starts and Wrong Turns;The New York Times;Technology;28/02/2024;Internal disagreements over the direction of the Apple car led the effort to sputter for years before it was canceled this week.;['Apple Inc', 'Driverless and Semiautonomous Vehicles', 'Electric and Hybrid Vehicles', 'Computers and the Internet', 'Artificial Intelligence', 'Tesla Motors Inc', 'Ive, Jonathan'];1296
Apple Kills Its Electric Car Project;The New York Times;Technology;27/02/2024;The car, which Apple spent billions of dollars researching, had been intended as a rival to Tesla’s E.V.s, which include autonomous driving features.;['Apple Inc', 'Electric and Hybrid Vehicles', 'Driverless and Semiautonomous Vehicles', 'Computers and the Internet', 'Cook, Timothy D', 'Innovation'];412
Apple Music Removes, Then Restores, Ye Album Without Explanation;The New York Times;Arts;15/02/2024;On Thursday, the streaming platform took down “Vultures 1” after the LP’s distributor, Fuga, said its upload violated a service agreement. The album, which is on pace to hit No. 1, later returned to the service.;['Rap and Hip-Hop', 'Audio Recordings, Downloads and Streaming', 'Apple Music', 'West, Kanye', 'Vultures 1 (Album)', 'Fuga (Independent IP BV)'];558
Vision Pro Review: Apple’s First Headset Lacks Polish and Purpose;The New York Times;Technology;07/02/2024;Billed as the future of computing, the $3,500 goggles can’t replace a laptop for work. At times, wearing them also made our columnist feel nauseated.;['Apple Inc', 'Virtual Reality (Computers)', 'Wearable Computing', 'Headphones and Headsets', 'Computers and the Internet', 'Mobile Applications', 'Movies', 'Video Recordings, Downloads and Streaming'];1605
Apple Sees First Quarterly Revenue Increase in a Year;The New York Times;Technology;01/02/2024;The iPhone maker’s share price dropped in after-hour trading even though sales and profit topped Wall Street expectations.;['Apple Inc', 'Company Reports', 'iPhone', 'Cloud Computing', 'Smartphones', 'Computers and the Internet', 'Wearable Computing', 'Virtual Reality (Computers)', 'Artificial Intelligence', 'Cook, Timothy D', 'Microsoft Corp', 'Huawei Technologies Co Ltd'];725
Apple Has a New Plan for Its App Store. Many Developers Hate It.;The New York Times;Technology;01/02/2024;To comply with European regulations, Apple has proposed reducing its commission on app sales while adding new fees and hurdles.;['Mobile Applications', 'Antitrust Laws and Competition Issues', 'Mobile Commerce and Payments', 'Regulation and Deregulation of Industry', 'Computers and the Internet', 'Apple Inc', 'European Commission', 'European Union', 'Digital Markets Act'];1289
Has China Lost Its Taste for the iPhone?;The New York Times;Business;25/03/2024;Apple has deep ties in the country, its second-largest market. But there are signs that Chinese consumers are becoming a harder sell.;['China', 'iPhone', 'Smartphones', 'Computers and the Internet', 'Huawei Technologies Co Ltd', 'Shanghai (China)', 'United States International Relations'];1309
The Second Coming of the Microsoft Antitrust Battle?;The New York Times;Business;23/03/2024;Prosecutors compare their new fight against Apple to the seminal case against Windows in the 1990s.;['Computers and the Internet', 'Antitrust Laws and Competition Issues', 'Apple Inc'];1805
The Trustbuster Who Has Apple and Google in His Sights;The New York Times;Technology;22/03/2024;Jonathan Kanter, the head of the Justice Department’s antitrust division, made his boldest move on Thursday by accusing Apple of antitrust violations.;['Kanter, Jonathan S', 'Content Type: Personal Profile', 'Justice Department', 'Antitrust Laws and Competition Issues', 'Mergers, Acquisitions and Divestitures', 'Regulation and Deregulation of Industry', 'Computers and the Internet', 'Social Media', 'Law and Legislation', 'United States Politics and Government', 'Suits and Litigation (Civil)', 'Corporations', 'Apple Inc', 'Google Inc', 'Khan, Lina', 'Federal Trade Commission'];1221
U.S. Sues Apple, Accusing It of Maintaining an iPhone Monopoly;The New York Times;Technology;21/03/2024;The lawsuit caps years of regulatory scrutiny of Apple’s wildly popular suite of devices and services, which have fueled its growth into a nearly $3 trillion public company.;['Apple Inc', 'iPhone', 'Justice Department', 'Antitrust Laws and Competition Issues', 'Computers and the Internet', 'Suits and Litigation (Civil)', 'Mobile Applications', 'Software', 'Smartphones', 'Regulation and Deregulation of Industry'];1615
