ticker,day,avg_sentiment
AAPL,2025-09-25,-0.10335544829389878
AAPL,2025-09-26,-0.1694634778016224
AAPL,2025-09-27,-0.08754919695534875
AAPL,2025-09-28,-0.39124247450381516
AAPL,2025-09-29,0.17418328435936323
AAPL,2025-09-30,0.15680916660598349
AAPL,2025-10-01,-0.06861683666610563
AAPL,2025-10-02,-0.16741484679126487
AAPL,2025-10-03,0.08881268674241646
AAPL,2025-10-04,-0.4688258461654186
AAPL,2025-10-05,-0.14359384223020502
AAPL,2025-10-06,-0.21153518191671797
AAPL,2025-10-07,-0.36749512008908725
AAPL,2025-10-08,-0.024313200564522835
AAPL,2025-10-09,0.15620618784690607
AAPL,2025-10-10,0.07744656868744644
AAPL,2025-10-11,0.265891850925982
AAPL,2025-10-12,0.08392791682854293
AAPL,2025-10-13,0.25569217630590385
AAPL,2025-10-14,-0.24816968379956153
AAPL,2025-10-15,-0.06802178865505587
AAPL,2025-10-16,-0.04343013578292094
AAPL,2025-10-17,-0.07642897371860112
AAPL,2025-10-18,-0.07059826795011757
AAPL,2025-10-19,-0.05549420975148675
AAPL,2025-10-20,0.10158120085292592
AAPL,2025-10-21,-0.16715248915901842
AAPL,2025-10-22,0.10639910234092942
AAPL,2025-10-23,-0.14332241189720876
AAPL,2025-11-05,-0.028201466565951683
AAPL,2025-11-06,0.1530302117268245
AAPL,2025-11-07,0.12893265555612743
AAPL,2025-11-15,-0.09741762425336571
AAPL,2025-11-16,-0.504851691192016
AAPL,2025-11-17,-0.08396830841560254
AAPL,2025-11-18,0.021021289639174955
AAPL,2025-11-19,0.03900241568529357
AAPL,2025-11-20,-0.2241307576186955
AAPL,2025-11-21,0.05590988290854372
AAPL,2025-11-25,0.042496768240299486
AAPL,2025-11-26,0.034659438086925336
AAPL,2025-11-27,0.0057070046896115015
AAPL,2025-11-28,-0.006616242645707491
AAPL,2025-11-29,-0.5637884410098195
AAPL,2025-11-30,-0.3775802688673139
AAPL,2025-12-01,-0.23162578986111013
AMZN,2025-09-25,0.4162779911886901
AMZN,2025-09-26,0.06674797572673133
AMZN,2025-09-27,-0.09989102963696826
AMZN,2025-09-28,-0.01809492117414871
AMZN,2025-09-29,0.019369125972981713
AMZN,2025-09-30,-0.17923534795409068
AMZN,2025-10-01,-0.10649735049810259
AMZN,2025-10-02,0.07022624559424544
AMZN,2025-10-03,-0.0017672291480351197
AMZN,2025-10-04,-0.39953126665204763
AMZN,2025-10-05,-0.43982549714432523
